ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2 STSUFX2,,CITY,COUNTY STATUS1,STATUS2,STATUS3,BLOCK,LOT
10001,251,W 26TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,776,9
10001,260,W 26TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,775,7502
ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,CITY,COUNTY STATUS1,STATUS2,STATUS3,BLOCK,LOT
10001,12,W 27TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,828,56
10001,26,W 27TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,828,63
10001,29,W 27TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,829,20
10001,39,W 27TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,HOTEL,,829,14
10001,43,W 27TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,829,13
10001,100,W 27TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,802,45
10001,144,W 27TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,802,7501
10001,145 TO 147,W 27TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,,,803,7503
10001,154,W 27TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,802,71
10001,260,W 27TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,776,69
10001,537 TO 545,W 27TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,699,9
10001,4,W 28TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,829,44
10001,136,W 28TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,,,803,60
10001,139,W 28TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,804,15
10001,146 TO 148,W 28TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,803,65
10001,211,W 28TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,778,33
10001,225,W 28TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (16),,778,25
10001,241 TO 247,W 28TH,ST,244,W 29TH,ST,NEW YORK,62 MULTIPLE DWELLING A,421-A (16),,778,18
10001,501,W 28TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,700,29
10001,507 TO 515,W 28TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,700,27
10001,525,W 28TH,ST,282,11TH,AVE,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,700,9
10001,14,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,830,53
10001,211 TO 213,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (16),,779,31
10001,221,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (16),,779,27
10001,231,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,779,17
10001,257,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,779,7
10001,301,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,35
10001,309,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,31
10001,311,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,30
10001,317,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,26
10001,319,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,26
10001,321 TO 323,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,24
10001,333,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,,,753,19
10001,335,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,18
10001,339,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,16
10001,347,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,12
10001,349,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,11
10001,351,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,ROOMING HOUSE,,753,10
10001,501,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,701,35
10001,508,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,700,40
10001,529 TO 539,W 29TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (16),701,7501
10001,1,W 30TH,ST,284,5TH,AVE,NEW YORK,62 MULTIPLE DWELLING A,,,832,39
10001,24,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,COOP/CONDO PLAN FILE,,831,7501
10001,208 TO 212,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,,,779,49
10001,251 TO 255,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,780,10
10001,308,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,7502
10001,315,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,,,754,30
10001,317,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,,,754,29
10001,319,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,,,754,28
10001,320,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,51
10001,323,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,,,754,26
10001,325,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,,,754,25
10001,326 TO 338,W 30TH,ST,329,W 29TH,ST,NEW YORK,62 MULTIPLE DWELLING A,ARTICLE 11,,753,56
10001,327,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,754,21
10001,341,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,,,754,18
10001,342,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,65
ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,CITY,COUNTY STATUS1,STATUS2,STATUS3,BLOCK,LOT
10001,346,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,67
10001,350,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,753,69
10001,353,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,,754,12
10001,363 TO 367,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,754,1
10001,366,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,GARDEN COMPLEX,,753,77
10001,500,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,701,7501
10001,518 TO 530,W 30TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,701,16
10001,4,W 31ST,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,HOTEL,,832,49
10001,9,W 31ST,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (16),,833,7502
10001,125 TO 127,W 31ST,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,807,7501
10001,435,W 31ST,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (16),,729,7502
10001,9,W 32ND,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,834,35
10001,35 TO 39,W 33RD,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,835,15
10001,42,W 33RD,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (16),,834,69
10001,50,W 34TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,835,7501
10001,408,W 34TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,731,50
10001,426 TO 432,W 34TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,731,60
10001,433,W 34TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,732,16
10001,440,W 34TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,,731,65
10001,455,W 34TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,732,7
10001,53 TO 55,W 35TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,837,12
10001,327,W 35TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,759,25
10001,329,W 35TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,759,24
10001,331,W 35TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,759,23
10001,367,W 35TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,759,7
10001,411 TO 423,W 35TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,733,23
10001,445 TO 453,W 35TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,733,8
10001,454 TO 458,W 35TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,ROOMING HOUSE,,732,68
10001,461 TO 463,W 35TH,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,,733,1
10002,3,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,293,20
10002,7,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,293,18
10002,9,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,293,17
10002,13,ALLEN,ST,7072,CANAL,ST,NEW YORK,62 MULTIPLE DWELLING A,,,293,15
10002,19,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,300,28
