zipcode,total_units,stabilized_units,stabilized_buildings,total_buildings,stabilization_share
11217,29584.0,8874.0,330,3543,0.29995943753380205
11218,28019.0,11314.0,283,6292,0.4037974231771298
11219,28561.0,7641.0,409,7747,0.2675326494170372
11220,29366.0,7820.0,773,8220,0.2662943540148471
11221,37585.0,11014.0,923,8467,0.2930424371424771
11222,28000.0,12763.0,944,4348,0.45582142857142854
11223,29175.0,7499.0,201,9489,0.2570351328191945
11224,23950.0,5032.0,68,2243,0.21010438413361168
11225,27361.0,17576.0,478,3681,0.6423741822301816
11226,46270.0,30985.0,873,4852,0.6696563648152151
11228,15894.0,883.0,57,7688,0.05555555555555555
11229,31962.0,8012.0,175,11060,0.2506726738001377
11230,32616.0,16048.0,338,7358,0.49202845229335296
11231,20661.0,2786.0,216,3892,0.13484342481002856
11232,9882.0,3346.0,263,2182,0.33859542602712
11233,31018.0,8530.0,609,7216,0.2750016119672448
11234,31278.0,1669.0,28,18414,0.05336018927041371
11235,36920.0,13075.0,195,7120,0.35414409534127844
11236,31104.0,955.0,45,13664,0.030703446502057613
11237,18416.0,7918.0,1129,3667,0.4299522154648132
11238,32884.0,12723.0,562,4283,0.3869054859506143
11239,14457.0,592.0,31,575,0.040949021235387704
11249,18846.0,6017.0,132,1156,0.31927199405709433
11354,25244.0,0.0,0,4197,0.0
11355,32214.0,0.0,0,6380,0.0
11356,8479.0,0.0,0,4194,0.0
11357,16150.0,0.0,0,9307,0.0
11358,14084.0,0.0,0,8203,0.0
11360,9208.0,0.0,0,2440,0.0
11361,11306.0,0.0,0,5990,0.0
11362,7042.0,0.0,0,3193,0.0
11363,2877.0,0.0,0,1914,0.0
11364,13994.0,0.0,0,5879,0.0
11365,16865.0,0.0,0,6173,0.0
11366,5544.0,0.0,0,3529,0.0
11367,14925.0,0.0,0,4593,0.0
11368,31569.0,0.0,0,7223,0.0
11369,11094.0,0.0,0,5062,0.0
11370,9475.0,0.0,0,3980,0.0
11372,24891.0,0.0,0,2346,0.0
11373,33136.0,0.0,0,6663,0.0
11374,22057.0,0.0,0,3091,0.0
11375,35705.0,0.0,0,6437,0.0
11377,33847.0,0.0,0,7101,0.0
11378,13671.0,0.0,0,7054,0.0
11379,15081.0,0.0,0,8388,0.0
11385,38282.0,2107.0,259,13625,0.05503892168643226
11411,6000.0,81.0,4,5244,0.0135
11412,11468.0,496.0,17,8442,0.04325078479246599
11413,12554.0,178.0,10,9282,0.01417874780946312
11414,10698.0,643.0,9,5177,0.060104692465881474
